available_seats,wl_used,class_type_CC,class_type_2A,class_type_3A,class_type_Sleeper,quota_GN,quota_Ladies,quota_PT,quota_TATKAL,current_status_CNF,current_status_RAC,current_status_WL,train_category_EXPRESS,train_category_RAJDHANI,train_category_SHATABDI,train_category_PASSENGER,label
0.763015407,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
1.033402731,-0.402786077,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
-0.783045446,-0.576527139,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
-1.365418144,-0.576527139,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
-0.020414532,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
-0.062012582,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0.291570842,-0.576527139,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
0.735283374,-0.576527139,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
0.91554159,1.994840584,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
-0.900906587,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
-0.235337789,-0.576527139,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1
1.643507463,-0.281167333,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
-0.796911463,-0.52440482,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
0.568891175,-0.576527139,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
-1.538743352,-0.576527139,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
-1.54567636,-0.576527139,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
-1.205958953,0.743904935,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
-0.124409657,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
-1.247557003,1.317250441,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
-0.172940715,-0.298541439,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
0.402498975,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
-0.450261047,-0.576527139,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
0.000384493,0.431171023,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
-0.907839596,-0.576527139,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
1.470182255,-0.576527139,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
0.700618333,1.994840584,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0.277704826,-0.142174483,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
0.735283374,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
0.305436859,-0.576527139,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
-1.351552128,2.081711115,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
-1.185159928,2.741927152,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1.740569579,2.741927152,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0.880876549,-0.576527139,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0.152910676,1.334624547,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1.53257933,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
0.478762067,-0.576527139,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1.601909413,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
-0.498792105,1.664732565,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1.435517213,-0.576527139,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
-0.339332914,-0.576527139,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
0.603556216,2.533437877,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
0.901675574,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0.159843684,-0.576527139,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0.166776693,-0.576527139,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1.005670698,2.099085221,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1.643507463,0.083688898,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
-0.471060072,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-1.233690986,-0.576527139,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1
0.111312626,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
1.594976405,-0.576527139,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0.437164017,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
-1.462480261,-0.576527139,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
0.076647585,2.759301258,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1.102732815,-0.576527139,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
-0.443328039,-0.576527139,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
-0.103610632,-0.576527139,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0.714484349,-0.576527139,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
1.705904538,-0.576527139,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1.671239496,-0.576527139,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
0.91554159,0.604912085,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
-0.159074698,-0.576527139,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
-1.205958953,-0.576527139,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
-0.623586255,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-0.616653247,-0.576527139,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
-1.282222044,-0.576527139,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
0.076647585,2.377070921,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
-0.373997956,-0.576527139,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
0.867010532,-0.576527139,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
-0.893973579,0.465919235,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1
-0.166007706,-0.576527139,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
